ticket_id,created_at,subject,description,product_area,customer_tier,priority,status,channel,tags
TCK-1172,2026-06-01,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 0.,api,pro,high,solved,api,api|rate-limit|developer-experience
TCK-1208,2026-06-01,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 1.,billing,pro,medium,pending,web,billing|invoice|finance
TCK-1410,2026-06-01,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,pro,low,open,api,profile|settings
TCK-1358,2026-06-02,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 5.,workflow,free,medium,solved,chat,bulk-actions|feature-request|workflow
TCK-1077,2026-06-03,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 0.,reporting,enterprise,urgent,pending,web,csv|export|timeout|reporting
TCK-1256,2026-06-03,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 0.,search,free,high,open,chat,search|performance|latency
TCK-1374,2026-06-03,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,free,medium,pending,api,profile|settings
TCK-1418,2026-06-03,Mobile notification preference question,Customer asks how to adjust mobile notification settings Synthetic scenario variant 0.,mobile,pro,low,open,email,mobile|settings
TCK-1171,2026-06-05,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 6.,api,pro,high,pending,web,api|rate-limit|developer-experience
TCK-1211,2026-06-05,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 4.,billing,pro,high,solved,web,billing|invoice|finance
TCK-1249,2026-06-05,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 0.,search,free,high,open,chat,search|performance|latency
TCK-1361,2026-06-05,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 1.,workflow,pro,low,pending,api,bulk-actions|feature-request|workflow
TCK-1355,2026-06-06,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 2.,workflow,pro,medium,open,web,bulk-actions|feature-request|workflow
TCK-1393,2026-06-06,One-off PDF formatting question,PDF export has a minor formatting question for a small report Synthetic scenario variant 0.,exports,pro,low,solved,email,pdf|formatting
TCK-1399,2026-06-06,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,pro,low,open,chat,profile|settings
TCK-1364,2026-06-07,One-off PDF formatting question,PDF export has a minor formatting question for a small report Synthetic scenario variant 0.,exports,pro,medium,open,web,pdf|formatting
TCK-1365,2026-06-07,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,free,medium,solved,api,profile|settings
TCK-1165,2026-06-08,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 0.,api,free,medium,solved,chat,api|rate-limit|developer-experience
TCK-1167,2026-06-08,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 2.,api,pro,medium,solved,chat,api|rate-limit|developer-experience
TCK-1255,2026-06-08,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 6.,search,pro,urgent,solved,web,search|performance|latency
